event_id,event_name,polymarket_slug,kalshi_slug,home_team,away_team
d9837a28-02de-4c11-a652-6cd46c776fb4,Morocco vs Haiti,fifwc-mar-hai-2026-06-24,kxwcgame-26jun24marhti,Morocco,Haiti
dc537a48-080b-4273-9a85-f5a2d52e9a96,Netherlands vs Japan,fifwc-nld-jpn-2026-06-14,kxwcgame-26jun14nedjpn,Netherlands,Japan
ed8316ee-145e-45f3-b699-9ac282d772f3,Netherlands vs Sweden,fifwc-nld-swe-2026-06-20,null,Netherlands,Sweden
dc009476-48f4-40b6-b3ef-05aa4a863373,New Zealand vs Belgium,fifwc-nzl-bel-2026-06-26,kxwcgame-26jun26nzlbel,New Zealand,Belgium
dda90afa-0e40-4daa-9733-e32104b8518f,New Zealand vs Egypt,fifwc-nzl-egy-2026-06-21,kxwcgame-26jun21nzlegy,New Zealand,Egypt
9cabbdc3-9664-4df6-a3d7-46cc983194c0,Norway vs France,fifwc-nor-fra-2026-06-26,kxwcgame-26jun26norfra,Norway,France
1b431693-0efa-44af-8940-50ade62b18ec,Norway vs Senegal,fifwc-nor-sen-2026-06-22,kxwcgame-26jun22norsen,Norway,Senegal
15bc1a28-87ae-4f04-9b9e-e09d07985f13,Panama vs Croatia,fifwc-pan-hrv-2026-06-23,kxwcgame-26jun23pancro,Panama,Croatia
6484db77-746e-4453-bb90-bb5c04b44371,Panama vs England,fifwc-pan-eng-2026-06-27,kxwcgame-26jun27paneng,Panama,England
9ebf894a-07ba-4958-8f70-18fcd43011bd,Paraguay vs Australia,fifwc-par-aus-2026-06-25,kxwcgame-26jun25paraus,Paraguay,Australia
3f03cbda-2002-4f19-bb2c-c9cf36a0f0f8,Portugal vs DR Congo,fifwc-prt-cdr-2026-06-17,null,Portugal,DR Congo
5a694b1d-509a-4a78-848b-360a4924be47,Portugal vs Uzbekistan,fifwc-prt-uzb-2026-06-23,kxwcgame-26jun23poruzb,Portugal,Uzbekistan
3f9e735e-4b46-481e-9fe4-cfe9f5a1a01f,Qatar vs Switzerland,fifwc-qat-che-2026-06-13,kxwcgame-26jun13qatsui,Qatar,Switzerland
6d2331d5-f11d-4562-b40e-0462ea90d3d9,Saudi Arabia vs Uruguay,fifwc-ksa-ury-2026-06-15,kxwcgame-26jun15ksauru,Saudi Arabia,Uruguay
639fe44e-77aa-4e9a-bdc6-86858a75d116,Scotland vs Brazil,fifwc-sco-bra-2026-06-24,kxwcgame-26jun24scobra,Scotland,Brazil
bab1cebe-649d-4227-ba4e-3deaec551007,Scotland vs Morocco,fifwc-sco-mar-2026-06-19,kxwcgame-26jun19scomar,Scotland,Morocco
dfdf9b25-80d1-4453-823a-105d67b67150,Senegal vs Iraq,fifwc-sen-irq-2026-06-26,null,Senegal,Iraq
3c8a3b5d-6ef6-4ce0-a4cc-93be6a3a79e2,South Africa vs South Korea,fifwc-rsa-kr-2026-06-24,kxwcgame-26jun24rsakor,South Africa,South Korea
b5c0e3d3-5614-4cbe-bd7c-e7a2ba3badf3,South Korea vs Czech Republic,fifwc-kr-cze-2026-06-11,null,South Korea,Czech Republic
2ca29445-5cc0-4b79-9194-98f310b21ccd,Spain vs Cape Verde,fifwc-esp-cvi-2026-06-15,kxwcgame-26jun15espcpv,Spain,Cape Verde
3c1c2dc6-dc0e-48fa-90ce-0577c525f737,Spain vs Saudi Arabia,fifwc-esp-ksa-2026-06-21,kxwcgame-26jun21espksa,Spain,Saudi Arabia
9bd5a5a7-0641-4089-99d6-aed38fae05dd,Sweden vs Tunisia,fifwc-swe-tun-2026-06-14,null,Sweden,Tunisia
467b3963-ab63-47a6-998f-2ec63258472c,Switzerland vs Bosnia and Herzegovina,fifwc-che-bih-2026-06-18,null,Switzerland,Bosnia and Herzegovina
40bb3fb3-f676-4d32-b711-835e74ddd069,Switzerland vs Canada,fifwc-che-can-2026-06-24,kxwcgame-26jun24suican,Switzerland,Canada
edda5fd8-050f-4454-a8fb-f403d9b9b2c9,Tunisia vs Japan,fifwc-tun-jpn-2026-06-21,kxwcgame-26jun21tunjpn,Tunisia,Japan
b1f3a319-7590-4c01-821c-dee5b5450022,Tunisia vs Netherlands,fifwc-tun-nld-2026-06-25,kxwcgame-26jun25tunned,Tunisia,Netherlands
e92c06fc-27ab-454d-be5e-3fccaecac0bf,Turkey vs Paraguay,fifwc-tur-par-2026-06-19,null,Turkey,Paraguay
55dd03f9-1ba9-4ac6-92f1-2b4718c9a0d5,Turkey vs United States,fifwc-tur-usa-2026-06-25,null,Turkey,United States
cb782a7d-6298-4f24-afc0-89066ea5285b,United States vs Australia,fifwc-usa-aus-2026-06-19,kxwcgame-26jun19usaaus,United States,Australia
200ea468-852b-4e67-84b5-eef6d3e22caa,United States vs Paraguay,fifwc-usa-par-2026-06-12,kxwcgame-26jun12usapar,United States,Paraguay
d02cae2d-60bd-4db0-a7ab-2185cbccb7d5,Uruguay vs Cape Verde,fifwc-ury-cvi-2026-06-21,kxwcgame-26jun21urucpv,Uruguay,Cape Verde
82110924-0f5c-4604-942d-35a42e163385,Uruguay vs Spain,fifwc-ury-esp-2026-06-26,kxwcgame-26jun26uruesp,Uruguay,Spain
8909e504-3e79-4c14-b98c-1c376a35f1d2,Uzbekistan vs Colombia,fifwc-uzb-col-2026-06-17,kxwcgame-26jun17uzbcol,Uzbekistan,Colombia
